Code_CIS;Code_CIP13;Code_Evnt_Pres;Date_Evnt_Pres;Evnt_Pres
65889234;3400934213342;15;19/12/1998;Déclaration de commercialisation
65889825;3400939308869;15;24/02/2011;Déclaration de commercialisation
65889939;3400949922574;15;08/07/2015;Déclaration de commercialisation
65891566;3400934237355;15;19/07/1997;Déclaration de commercialisation
65892928;3400930573020;15;19/06/1963;Déclaration de commercialisation
65892928;3400955531005;15;19/11/1985;Déclaration de commercialisation
65893318;3400936249424;15;28/06/2004;Déclaration de commercialisation
65893688;3400935762320;15;08/01/2003;Déclaration de commercialisation
65893688;3400935762320;16;19/02/2019;Déclaration d'arrêt de commercialisation
65894174;3400922432731;15;13/08/2012;Déclaration de commercialisation
65894808;3400932223046;15;19/05/1979;Déclaration de commercialisation
65896314;3400930059630;15;04/01/2017;Déclaration de commercialisation
65897327;3400922086736;15;24/04/2012;Déclaration de commercialisation
65898475;3400932638239;15;19/12/1984;Déclaration de commercialisation
65898475;3400932638239;16;01/09/2021;Déclaration d'arrêt de commercialisation
65898870;3400933312466;15;19/09/1991;Déclaration de commercialisation
65898870;3400933312466;16;07/08/2020;Déclaration d'arrêt de commercialisation
65899004;3400930092934;15;05/12/2017;Déclaration de commercialisation
65899367;3400927510588;15;20/01/2014;Déclaration de commercialisation
65899602;3400930016282;15;10/06/2016;Déclaration de commercialisation
65900339;3400938844597;15;18/12/2008;Déclaration de commercialisation
65900346;3400930138434;15;28/03/2019;Déclaration de commercialisation
65902977;3400936036093;15;13/02/2003;Déclaration de commercialisation
65903335;3400955019237;15;31/10/2016;Déclaration de commercialisation
65904024;3400938509342;15;02/04/2009;Déclaration de commercialisation
65904501;3400936327986;15;02/03/2004;Déclaration de commercialisation
65905051;3400927748004;15;03/01/2019;Déclaration de commercialisation
65906484;3400938055375;15;15/02/2011;Déclaration de commercialisation
65906484;3400938055665;15;15/02/2011;Déclaration de commercialisation
65907376;3400922284927;15;23/10/2013;Déclaration de commercialisation
65907376;3400930080122;15;04/10/2017;Déclaration de commercialisation
65907376;3400930080139;15;11/10/2017;Déclaration de commercialisation
65907383;3400930240939;15;25/11/2022;Déclaration de commercialisation
65908097;3400941564895;15;02/05/2012;Déclaration de commercialisation
65908097;3400941565328;15;02/05/2012;Déclaration de commercialisation
65909683;3400930227305;15;12/05/2022;Déclaration de commercialisation
65909683;3400930227312;15;10/05/2022;Déclaration de commercialisation
65910155;3400937975889;15;07/01/2008;Déclaration de commercialisation
